# CONTX Functions Raw
# Generated from source scan on 2026-02-09T08:43:18.393Z
source	name	kind
src/screens/HRM.js:78	downloadPDF	const-fn
src/screens/HRM.js:114	downloadExcel	const-fn
src/screens/HRM.js:137	shareFile	const-fn
src/screens/HRM.js:165	loadData	const-fn
src/screens/HRM.js:187	saveData	const-fn
src/screens/HRM.js:195	handleSearchIconPress	const-fn
src/screens/HRM.js:199	handleAdd	const-fn
src/screens/HRM.js:216	handleEdit	const-fn
src/screens/HRM.js:225	handleDelete	const-fn
src/screens/HRM.js:231	handleDeleteAll	const-fn
src/screens/HRM.js:239	handleSelectAll	const-fn
src/screens/HRM.js:249	handleSelectRow	const-fn
src/screens/HRM.js:257	filterData	const-fn
src/screens/HRM.js:275	handlePageChange	const-fn
src/screens/HRM.js:281	renderPagination	const-fn
src/screens/IBANPayment.js:35	IBANPayment	const-fn
src/screens/IBANPayment.js:38	renderHeader	const-fn
src/screens/IBANPayment.js:42	renderContent	const-fn
src/screens/IBANPayment.js:192	renderButton	const-fn
src/screens/IncidentForm.js:12	IncidentForm	const-fn
src/screens/IncidentForm.js:60	loadUserData	const-fn
src/screens/IncidentForm.js:95	showPicker	const-fn
src/screens/IncidentForm.js:98	onDateChange	const-fn
src/screens/IncidentForm.js:156	handleCheckboxToggle	const-fn
src/screens/IncidentForm.js:162	handleCheckboxToggle1	const-fn
src/screens/IncidentForm.js:168	handleCheckboxToggle2	const-fn
src/screens/IncidentForm.js:172	handleCheckboxToggle3	const-fn
src/screens/IncidentForm.js:177	fetchProjectTeams	const-fn
src/screens/IncidentForm.js:215	loadUserData	const-fn
src/screens/IncidentForm.js:228	handleDocumentPick	const-fn
src/screens/IncidentForm.js:246	handleSubmit	const-fn
src/screens/InvoiceSent.js:13	InvoiceSent	const-fn
src/screens/InvoiceSent.js:14	renderContent	const-fn
src/screens/InvoiceSent.js:55	renderButton	const-fn
src/screens/Lead.js:21	Lead	const-fn
src/screens/Lead.js:28	renderHeader	const-fn
src/screens/Lead.js:36	handlePress	const-fn
src/screens/Lead.js:41	toggleDropdown	const-fn
src/screens/Lead.js:48	Content	const-fn
src/screens/LeadForm.js:10	LeadForm	const-fn
src/screens/LeadForm.js:61	onDobChange	const-fn
